ID,NAME,PARENTROLE.DeveloperName,ROLLUPDESCRIPTION,OPPORTUNITYACCESSFORACCOUNTOWNER,CASEACCESSFORACCOUNTOWNER,CONTACTACCESSFORACCOUNTOWNER,FORECASTUSERID,MAYFORECASTMANAGERSHARE,DEVELOPERNAME,PORTALACCOUNTID,PORTALTYPE,PORTALACCOUNTOWNERID
00E29000000ZQH0EAO,ASISTENTE BANCA EMPRESAS AREQUIPA,EJECUTIVO_BANCA_EMPRESAS_AREQUIPA,ASISTENTE BANCA EMPRESAS AREQUIPA,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_AREQUIPA,,None,
00E29000000ZQHeEAO,ASISTENTE BANCA EMPRESAS CALLAO,EJECUTIVO_BANCA_EMPRESAS_CALLAO,ASISTENTE BANCA EMPRESAS CALLAO,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_CALLAO,,None,
00E29000000ZQEaEAO,ASISTENTE BANCA EMPRESAS CENTRAL,EJECUTIVO_BANCA_EMPRESAS_CENTRAL,ASISTENTE BANCA EMPRESAS CENTRAL,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_CENTRAL,,None,
00E29000000ZQHPEA4,ASISTENTE BANCA EMPRESAS CHACARILLA,EJECUTIVO_BANCA_EMPRESAS_CHACARILLA,ASISTENTE BANCA EMPRESAS CHACARILLA,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_CHACARILLA,,None,
00E29000000ZQGMEA4,ASISTENTE BANCA EMPRESAS CHICLAYO,EJECUTIVO_BANCA_EMPRESAS_CHICLAYO,ASISTENTE BANCA EMPRESAS CHICLAYO,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_CHICLAYO,,None,
00E29000000ZQGvEAO,ASISTENTE BANCA EMPRESAS CHINCHA,EJECUTIVO_BANCA_EMPRESAS_CHINCHA,ASISTENTE BANCA EMPRESAS CHINCHA,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_CHINCHA,,None,
00E29000000ZQHtEAO,ASISTENTE BANCA EMPRESAS COLONIAL,EJECUTIVO_BANCA_EMPRESAS_COLONIAL,ASISTENTE BANCA EMPRESAS COLONIAL,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_COLONIAL,,None,
00E29000000ZQHUEA4,ASISTENTE BANCA EMPRESAS CUSCO,EJECUTIVO_BANCA_EMPRESAS_CUSCO,ASISTENTE BANCA EMPRESAS CUSCO,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_CUSCO,,None,
00E29000000ZQHoEAO,ASISTENTE BANCA EMPRESAS DOS DE MAYO,EJECUTIVO_BANCA_EMPRESAS_DOS_DE_MAYO,ASISTENTE BANCA EMPRESAS DOS DE MAYO,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_DOS_DE_MAYO,,None,
00E29000000ZQHyEAO,ASISTENTE BANCA EMPRESAS HUANCAYO,EJECUTIVO_BANCA_EMPRESAS_HUANCAYO,ASISTENTE BANCA EMPRESAS HUANCAYO,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_HUANCAYO,,None,
