"Organizational_unit_code__c","Organizational_unit__c","Organizational_unit_code_equivalence__c","Organizational_unit_equivalence__c"
"00025715","LEASING Y MEDIANO PLAZO","00025715","LEASING & COMEX"
"00024316","GESTION  COMERCIAL COMEX","00024316","LEASING & COMEX"
"00010393","COMEX, LEASING Y MEDIANO PLAZO","00010393","LEASING & COMEX"
"00027902","BIBEC PERU","00027902","BIBEC"
"00009947","GIN REDES PERU","00009947","REDES"
"00025526","EMPRESAS","00025526","REDES"
"00007945","GERENCIA REGIONAL BE 1","00007945","DIGITAL TRAINER"
"00038298","LOCAL TRANSACTIONAL BANKING","00038298","DIGITAL TRAINER"
"00008205","BANCA INSTITUCIONAL","00008205","BANCA INSTITUCIONAL"
"00026794","BANCA EMPRESAS CENTRAL","00026794","DIGITAL TRAINER"
"00007946","GERENCIA REGIONAL BE 2","00007946","DIGITAL TRAINER"
"00026793","GERENCIA REGIONAL BE 3","00026793","DIGITAL TRAINER"
