"CURRENCYISOCODE","LABEL__C","VALUE__C","WEB_SERVICE_VALUE__C","WEB_SERVICE_PARAMETER_ID__C","PRICING_MODEL_ID__C"
"PEN","Dineraria","01","41","GUARANTEE_CLASSIFICATION","3"
"PEN","Sin garantia","03","42","GUARANTEE_CLASSIFICATION","3"
"PEN","Reprogramado","02","4","CONTRACT_MODALITY","3"
"PEN","Compra de deuda","10","3","CONTRACT_MODALITY","3"
"PEN","Credito Liquido","03","9","CONTRACT_MODALITY","3"
"PEN","Refinanciado","14","5","CONTRACT_MODALITY","3"
"PEN","Anual","03","YEARLY","TERM_PERIOCITY","3"
"PEN","Linea Regular","01","8","CONTRACT_MODALITY","3"
"PEN","Credito Puntual","09","7","CONTRACT_MODALITY","3"
"PEN","Meses","02","MONTHLY","TERM_PERIOCITY","3"
"PEN","Días","01","DAILY","TERM_PERIOCITY","3"
"PEN","No dineraria","02","40","GUARANTEE_CLASSIFICATION","3"
