DWP_DACE__ACTION_DESC__C,DWP_DACE__ACTION_UNIQUE_ID__C
Botón para reasignar casos en sanción de precios,btnReasign
Quote,btnQuote
Edit Product,editProduct
Formalization,btnFormalization
Risk Approval,btnPenalizeRisk
Generate PDF,btnPDF
Review,btnReevaluate
Reject,btnReject
Delete Product,deleteProduct
Approve,btnApprove
Price Approval,btnSanctionPrice2
Price Approval,btnSanctionPrice
Add Product,addProduct
Complete,btnComplete
Unlink,btnUnlink
Aprove Formalization,btnFormalize
Use Current Price,btnUseCurrentPrice
calculate commission,btnCalculateCommission
