"CURRENCYISOCODE","NAME","DWP_DACE__CONDITION_ID__C","DWP_DACE__CONDITION_LINK__C","DWP_DACE__RULE_CONDITION_ACTIVE_TYPE__C","DWP_DACE__RULE_ID__C","DWP_DACE__RULE_LINK__C"
"PEN","RC-0000000669","a071700000D8WutAAF","<a href=""a071700000D8Wut"" target=""_top"">OPP_PRODUCT_SR_TRUE</a>","true","a0A1700000AFbHDEA1","<a href=""a0A1700000AFbHD"" target=""_top"">OPP_RULE_01</a>"
"PEN","RC-0000000670","a071700000D8WupAAF","<a href=""a071700000D8Wup"" target=""_top"">OPP_PRODUCT_FORMALIZATION_TRUE</a>","true","a0A1700000AFbH3EAL","<a href=""a0A1700000AFbH3"" target=""_top"">OPP_RULE_21</a>"
"PEN","RC-0000000671","a071700000D8WulAAF","<a href=""a071700000D8Wul"" target=""_top"">OPP_STAGE_APPROVAL</a>","true","a0A1700000AFbHHEA1","<a href=""a0A1700000AFbHH"" target=""_top"">OPP_RULE_17</a>"
"PEN","RC-0000000672","a071700000D8WukAAF","<a href=""a071700000D8Wuk"" target=""_top"">OPP_STATUS_REEVALUATION_AT_RISK</a>","true","a0A1700000AFbHHEA1","<a href=""a0A1700000AFbHH"" target=""_top"">OPP_RULE_17</a>"
"PEN","RC-0000000673","a071700000D8WusAAF","<a href=""a071700000D8Wus"" target=""_top"">OPP_PRODUCT_SP_TRUE</a>","true","a0A1700000AFbHREA1","<a href=""a0A1700000AFbHR"" target=""_top"">OPP_RULE_07</a>"
"PEN","RC-0000000674","a071700000D8WutAAF","<a href=""a071700000D8Wut"" target=""_top"">OPP_PRODUCT_SR_TRUE</a>","true","a0A1700000AFbHEEA1","<a href=""a0A1700000AFbHE"" target=""_top"">OPP_RULE_02</a>"
"PEN","RC-0000000675","a071700000D8WuWAAV","<a href=""a071700000D8WuW"" target=""_top"">OPP_PRODUCT_QUOTE_TYPE_WEB</a>","true","a0A1700000AFbH0EAL","<a href=""a0A1700000AFbH0"" target=""_top"">OPP_RULE_03</a>"
"PEN","RC-0000000696","a071700000D8WuZAAV","<a href=""a071700000D8WuZ"" target=""_top"">USER_PROFILE_EXECUTIVE</a>","true","a0A1700000AFbH2EAL","<a href=""a0A1700000AFbH2"" target=""_top"">OPP_RULE_16</a>"
"PEN","RC-0000000676","a071700000D8WuZAAV","<a href=""a071700000D8WuZ"" target=""_top"">USER_PROFILE_EXECUTIVE</a>","true","a0A1700000AFbH8EAL","<a href=""a0A1700000AFbH8"" target=""_top"">OPP_RULE_08</a>"
"PEN","RC-0000000697","a071700000D8WuPAAV","<a href=""a071700000D8WuP"" target=""_top"">OPP_STATUS_SENT_FOR_PRICE_APPROVAL</a>","true","a0A1700000AFbHOEA1","<a href=""a0A1700000AFbHO"" target=""_top"">OPP_RULE_25</a>"
