"CURRENCYISOCODE","NAME","DWP_DACE__RULE_DESC__C","DWP_DACE__RULE_UNIQUE_ID__C"
"PEN","R-0000000135","","CASE_RULE_1"
"PEN","R-0000000103","Conditions:
- En Sanci�n
- Ejecutivo
- Precio aprobado en delegaci�n
- Precio aprobado
- Producto con:
F = false
Actions:
- Desestimar
- Completar
- Reevaluar","OPP_RULE_20"
"PEN","R-0000000104","Conditions: 
- En Sancion
- Ejecutivo
- Autorizado por riesgos
- Producto con:
SP = true
M�todo SP = Cotiza Web
Actions:
- Cotizar
- Reevaluar
- Desestimar
- Aprobar","OPP_RULE_12"
"PEN","R-0000000105","Conditions:
-Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
-Ejecutivo
-Producto con:SR = false,SP = true,Metodo SP = Web 
Actions:
-Desestimar
-Sancionar Riesgo-Cotizar","OPP_RULE_03"
"PEN","R-0000000106","Conditions:
- En Sanci�n
- Ejecutivo
- Devuelto por riesgos
- Devuelto por precios
Actions:
- Reevaluar
- Desestimar","OPP_RULE_15"
"PEN","R-0000000107","Conditions:
- En Sanci�n
- Ejecutivo
-Enviado para reevaluaci�n a riesgos
- Producto con:
Modalidad riesgo = requiere autorizacion
Actions:
- Sancionar Riesgo
- Desvincular
- Desestimar","OPP_RULE_16"
"PEN","R-0000000108","Conditions:
- En Sanci�n
- Ejecutivo
- Precio aprobado en delegaci�n
- Precio aprobado
- Producto con:
F = true
Actions:
- Desestimar
- Formalizar
- Reevaluar","OPP_RULE_21"
"PEN","R-0000000109","Conditions: 
-En sancion
-Ejecutivo
-Riesgo Aprobado
-Riesgo Aprobado dentro de linea
-Producto con:
SP = false
F = false
Actions:
-Desestimar
-Reevaluar
-Completar","OPP_RULE_09"
"PEN","R-0000000110","Conditions:
- En Formalizacion
- Ejecutivo
- Devuelta por documentaci�n
- Producto con:
SP = false
SR = false
Actions:
- Desestimar
- Formalizar","OPP_RULE_22"
"PEN","R-0000000111","Conditions:
- En Sanci�n
- Ejecutivo
- Enviado para reevaluaci�n a riesgos o Enviado para reevaluaci�n a precio
Actions:
- Editar Producto","OPP_RULE_P03"
"PEN","R-0000000122","Conditions:
- En Sanci�n
- Ejecutivo
-Enviado para reevaluaci�n a riesgos
- Producto con:
SP = true
M�todo SP = Cotiza Web
Actions:
- Sancionar Riesgo
- Cotizar
- Desestimar","OPP_RULE_17"
"PEN","R-0000000123","Conditions:
- Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
- Especialista
- Ejecutivo
Actions:
- Desestimar","OPP_RULE_24"
"PEN","R-0000000112","Conditions:
- Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
- Ejecutivo o Especialista
- Tipologia Nueva
Actions:
- A�adir Producto
- Eliminar Producto
- Editar campos del Producto","OPP_RULE_P01"
"PEN","R-0000000113","Conditions: 
-En sancion
-Ejecutivo
-Riesgo Aprobado
-Riesgo Aprobado dentro de linea
-Producto con:
SP = false
F = true
Actions:
-Desestimar
-Reevaluar
-Formalizar","OPP_RULE_08"
"PEN","R-0000000114","Conditions:
-Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
-Ejecutivo
-Producto con:SR = false,SP = false,F = true
Actions:
-Desestimar
-Formalizar","OPP_RULE_05"
"PEN","R-0000000115","Conditions:
- En Formalizaci�n
- Operativo
- Enviada a unidad de producto
- Enviada para formalizaci�n
Actions:
- Formalizacion","OPP_RULE_27"
"PEN","R-0000000116","Conditions:
- En Sanci�n
- Ejecutivo
- Autorizado por riesgos
- Autorizado por precios
Actions:
- Reevaluar
- Desestimar
- Aprobar","OPP_RULE_13"
"PEN","R-0000000117","Conditions: 
- En Sancion
- Ejecutivo
- Enviado para autorizaci�n a riesgos
- Producto con:
SP = true
M�todo SP = Cotiza Web
Actions:
- Cotizar
- Reevaluar","OPP_RULE_10"
"PEN","R-0000000118","Conditions:
-Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
-Ejecutivo
-Producto con:SR = true,SP = false
Actions:
-Desestimar
-Sancionar Riesgo","OPP_RULE_01"
"PEN","R-0000000119","Conditions:
-Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
-Ejecutivo
-Producto con:SR = true,SP = true,Metodo SP = Web 
Actions:
-Desestimar
-Sancionar Riesgo-Cotizar","OPP_RULE_02"
"PEN","R-0000000120","Conditions:
- En Sanci�n
- Ejecutivo
- Enviado para reevaluaci�n a precio
Actions:
- Desestimar
- Sancionar Precio","OPP_RULE_19"
"PEN","R-0000000121","Conditions:
-Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
-Ejecutivo
-Especialista
-Producto con:SR = false,SP = false,F = false
Actions:
-Desestimar
-Completar","OPP_RULE_06"
"PEN","R-0000000124","Conditions: 
-En sancion
-Ejecutivo
-Enviado para autorizaci�n a riesgos
Actions:
-Reevaluar","OPP_RULE_11"
"PEN","R-0000000125","Conditions:
- En Sanci�n
- Ejecutivo
-Enviado para reevaluaci�n a riesgos
Actions:
- Desestimar
- Sancionar Riesgo","OPP_RULE_18"
"PEN","R-0000000126","Conditions:
-En Formalizaci�n
- Ejecutivo
- Devuelta por documentaci�n
Actions:
- Revaluar
- Desestimar
- Formalizar","OPP_RULE_23"
"PEN","R-0000000127","Conditions:
- Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
- Ejecutivo o Especialista
- Tipologia Cancelacion
Actions:
- Editar campos del Producto","OPP_RULE_P02"
"PEN","R-0000000128","Conditions:
- En Formalizaci�n
- Operativo
- Enviada para formalizaci�n
- Producto con PDF = true
Actions:
- PDF
- Formalizacion","OPP_RULE_26"
"PEN","R-0000000129","Conditions:
- En sancion
- Enviado para autorizaci�n a precios
- Analista
Actions:
- Sancionar precio","OPP_RULE_25"
"PEN","R-0000000130","Conditions:
- En Sanci�n
- Ejecutivo
-Devuelto por riesgos
- Producto con:
SP = true
M�todo SP = Cotiza Web
Actions:
- Cotizar
- Reevaluar
- Desestimar","OPP_RULE_14"
"PEN","R-0000000131","Conditions:
-Acciones Comerciales, Pendiente de Iniciar, En Gesti�n
-Ejecutivo
-Producto con:SR = false,SP = true
Actions:
-Desestimar
-Sancionar Precio","OPP_RULE_04"
"PEN","R-0000000132","Conditions: 
-En sancion
-Ejecutivo
-Riesgo Aprobado
-Riesgo Aprobado dentro de linea
-Producto con:
 SP = true
Actions:
-Reevaluar
-Desestimar
-Sancionar Precio","OPP_RULE_07"
"PEN","R-0000000133","Conditions:
-Acciones Comerciales, Pendiente de Iniciar, En Gestión
-Ejecutivo
-Producto con:SR = false,SP = true,Metodo SP = Web, Producto cotizable
Actions:
-Desestimar","OPP_RULE_03_PRE"
