"Name","iaso__Cache_Partition__c","iaso__cacheTTLInSecs__c","iaso__Enable_Log__c","iaso__isCacheInOrg__c","iaso__Timeout__c","iaso__Url__c"
"CalculateRate","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations/v1/rates"
"CompromiseProducts","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations"
"ProductsQuoteAvailability","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations/v1/products"
"CreateQuotationRequest","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations/v1/requests"
"GrantingTickets","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/TechArchitecture/grantingTicketsOauth/V01"
"SimulateRate","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations/v1/rates/simulate"
"ModifyQuotationRequest ","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations/v1/requests"
"AnalyzeRate ","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations/v1/analyze-rate"
"GetQuotationRequest ","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations/v1/requests"
"CreateQuotationCommitment ","local.CredentialsPeru","","false","true","","https://dwp.grupobbva.com.pe/SRVS_A02/quotations/v1"
