"CURRENCYISOCODE","DWP_DACE__RULES_SET_ID__R.DWP_DACE__RULES_SET_UNIQUE_ID__C","DWP_DACE__RULE_ID__R.DWP_DACE__RULE_UNIQUE_ID__C","DWP_DACE__RULE_ORDER_NUM__C","DWP_DACE__RULES_SET_RULE_ACTIVE_TYPE__C"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_04","4.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_15","15.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_20","20.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_13","13.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_19","19.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_02","1.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_16","16.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_18","18.0","true"
"PEN","PRODUCT_FORM_RULE_SET_02","OPP_RULE_P02","2.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_10","10.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_14","14.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_12","12.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_08","8.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_11","11.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_05","5.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_03","3.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_07","7.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_09","9.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_06","6.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_23","23.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_01","2.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_17","17.0","true"
"PEN","PRODUCT_FORM_RULE_SET_02","OPP_RULE_P01","1.0","true"
"PEN","PRODUCT_FORM_RULE_SET_02","OPP_RULE_P03","3.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_22","22.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_24","24.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_27","27.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_25","25.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_26","26.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_21","21.0","true"
