ID,NAME,FPRD__DEFAULT_VALUE__C,FPRD__DEVELOPERNAME__C,FPRD__HEADER__C,FPRD__HEADER_ORDER__C,FPRD__HIDDEN__C,FPRD__IMPORTANT__C,FPRD__LABEL__C,FPRD__LOV_LABELS__C,FPRD__LOV_VALUES__C,FPRD__LOWER_LIMIT__C,FPRD__MANDATORY__C,FPRD__MAP_FIELD__C,FPRD__ORDER__C,FPRD__PRODUCT__C,FPRD__READ_ONLY__C,FPRD__RELATED_MAP_FIELDS__C,FPRD__SECTION_NAME__C,FPRD__SECTION_ORDER__C,FPRD__TYPE__C,FPRD__UPPER_LIMIT__C,FPRD__VALUES_CONTROL_FIELD__C,FPRD__VISIBILITY_CONDITION__C,FPRD__VISIBILITY_CONTROL_FIELD__C,FPRD__VISIBILITY_CONTROL_VALUE__C,FPRD__PRODUCT__R.UNIQUE_ID__C,FPRD__PRODUCT__R.NAME
,PC-000350,03,Ca_Tipo_garantia_PC00029,false,,false,false,Tipo garantía,"Dineraria,No dineraria,Sin garantía","01,02,03",,false,gipr_Tipo_Garantia__c,9,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292230,PC00011
,PC-000312,,Ca_Fecha_Vencimiento_PC00029,false,,false,false,Fecha de vencimiento,,,,false,cpliq_Fecha_Vencimiento__c,4,01t3B00000215lcQAA,false,,Información general del producto,1,date,,,,Tipo_amortizacion_PC00029,,292230,Carta Fianza
,PC-000586,,Ca_Cuenta_vinculada_PC00029,false,,false,false,Cuenta vinculada,,,,false,cpliq_Cuenta_vinculada__c,2,01t3B00000215lcQAA,false,,Criterios de pago y liquidación,2,text,,,,,,292230,Carta Fianza
,PC-000083,02,Ca_Garantia_PC00029,false,,false,false,Garantía,"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos,Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","01,02,03,04,05,06,07,09,10,11,12,13,14,15,16,17",,false,gipr_Garantia__c,10,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,Tipo_garantia_PC00029,,Tipo_garantia_PC00029,"No dineraria,Dineraria",292230,Carta Fianza
,PC-000526,,Ca_Importe_PC00029,false,,false,false,Importe,,,,false,UnitPrice,1,01t3B00000215lcQAA,false,,Información general del producto,1,currency,,,,,,292230,Carta Fianza
,PC-000529,01,Ca_TcartaFianzaG_PC00029,false,,false,false,Tipo de carta fianza,"Técnica,Económica","01,02",,false,tcf_type_bail_letter__c,5,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292230,Carta Fianza
,PC-000605,02,Ca_PeriodicidadIG_PC00029,false,,false,false,Periodicidad,"Días,Meses","01,02",,false,gipr_Periodicidad__c,3,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292230,Carta Fianza
,PC-000538,01,Ca_tcf_type_beneficiary_PC00029,false,,false,false,Tipo de Beneficiario,"Pública,Privada","01,02",,false,tcf_type_beneficiary__c,7,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292230,Carta Fianza
,PC-000280,100,Ca_Cobertura_PC00029,false,,false,false,Cobertura (%),,,0,false,gipr_Cobertura__c,11,01t3B00000215lcQAA,false,,Información general del producto,1,number,100,,,Tipo_garantia_PC00029,"Dineraria,No dineraria",292230,Carta Fianza
,PC-000392,,Ca_tcf_beneficiary_PC00029,false,,false,false,Beneficiario,,,,false,tcf_beneficiary__c,6,01t3B00000215lcQAA,false,,Información general del producto,1,text,,,,,,292230,Carta Fianza
,PC-000480,02,Ca_tcf_Legal_VB_text_PC00029,false,,false,false,Texto VB° Legal,"SI,NO","01,02",,false,tcf_Legal_VB_text__c,8,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292230,Carta Fianza
,PC-000554,,Ca_PlazoIG_PC00029,false,,false,false,Plazo,,,,false,gipr_Plazo__c,2,01t3B00000215lcQAA,false,,Información general del producto,1,number,,,,,,292230,Carta Fianza
,PC-000009,01,Ca_Periodicity_commission_PC00029,false,,false,false,Periodicidad comisión,"Bimestral,Trismestral,Semestral,Anual","01,02,03,04",,false,tcf_Periodicity_commission__c,1,01t3B00000215lcQAA,false,,Criterios de pago y liquidación,2,LIST,,,,,,292230,Carta Fianza
a0i3B000000pypmQAA,PC-000350,03,Tipo_garantia_PC00029,false,,false,false,Tipo garantía,"Dineraria,No dineraria,Sin garantía","01,02,03",,false,gipr_Tipo_Garantia__c,9,01t3B00000215lcQAA,false,,Información general del producto,1,LIST,,,,,,292235,PC00011
a0i3B000000pypAQAQ,PC-000312,,Fecha_Vencimiento_PC00029,false,,false,false,Fecha de vencimiento,,,,false,cpliq_Fecha_Vencimiento__c,4,01t3B00000215lcQAA,false,,Información general del producto,1,date,,,,Tipo_amortizacion_PC00029,,292235,Carta Fianza
a0i3B000000pytaQAA,PC-000586,,Cuenta_vinculada_PC00029,false,,false,false,Cuenta vinculada,,,,false,cpliq_Cuenta_vinculada__c,2,01t3B00000215lcQAA,false,,Criterios de pago y liquidación,2,text,,,,,,292235,Carta Fianza
